1	Within the Kearny Mesa Community Plan area, the minimum lot size is 40,000 square feet.
2	See Section 131.0642.
3	See Section 131.0643(a).
4	See Section 131.0643(c).
5	See Section 131.0643(e).
6	See Section 131.0643(d).
7	Within the Kearny Mesa Community Plan area, the maximum floor area ratio is 0.50.
8	See Section 131.0643(f).
9	See Section 131.0643(g).
10	One dwelling unit per specified minimum square feet of lot area as determined in accordance with Section 113.0222.
11	Within the Otay Mesa Community Plan area, the maximum floor area ratio is 0.50 unless a final map has been recorded prior to May 18, 2014. This restriction does not apply to residential development in accordance with Section 131.0623(i).
