	AG-+	AR-+
Open Space\Active Recreation	-	P
Open Space\Passive Recreation	P	P
Open Space\Natural Resources Preservation	P	P
Open Space\Park Maintenance Facilities	-	-
Agriculture\Agricultural Processing	P(4)	P(4)
Agriculture\Aquaculture Facilities	P	P
Agriculture\Dairies	P	P(8)
Agriculture\Horticulture Nurseries & Greenhouses	P(6)	P(6)
Agriculture\Raising & Harvesting of Crops	P	P
Agriculture\Raising, Maintaining & Keeping of Animals	P(2)	P(2)(3)
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	C	-
Separately Regulated Agriculture Uses\Commercial Stables	C	L
Separately Regulated Agriculture Uses\Community Gardens	L	L
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	C	C
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture-Related Products & Flowers	L	L
Residential\Mobilehome Parks	-	-
Residential\Multiple Dwelling Units	-	-
Residential\Rooming House [See Section 131.0112(a)(3)(A)]	-	-
Residential\Shopkeeper Units	-	-
Residential\Single Dwelling Units	P(1)	P
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	-	L
Separately Regulated Residential Uses\Companion Units	-	L
Separately Regulated Residential Uses\Continuing Care Retirement Communities	-	-
Separately Regulated Residential Uses\Employee Housing: 6 or fewer employees	L(7)	L(7)
Separately Regulated Residential Uses\Employee Housing: 12 or Fewer employees	L(7)	L(7)
Separately Regulated Residential Uses\Employee Housing: Greater than 12 employees	N	C
Separately Regulated Residential Uses\Fraternities, Sororities and Student Dormitories	-	-
Separately Regulated Residential Uses\Garage, Yard, & Estate Sales	-	L
Separately Regulated Residential Uses\Guest Quarters	-	L
Separately Regulated Residential Uses\Home Occupations	-	L
Separately Regulated Residential Uses\Interim Ground Floor Residential	-	-
Separately Regulated Residential Uses\Junior Units	-	L
Separately Regulated Residential Uses\Live/Work Quarters	-	-
Separately Regulated Residential Uses\Permanent Supportive Housing	-	-
Separately Regulated Residential Uses\Residential Care Facilities: 6 or fewer persons	-	P
Separately Regulated Residential Uses\Residential Care Facilities: 7 or more persons	-	C(10)
Separately Regulated Residential Uses\Transitional Housing: 6 or fewer persons	-	P
Separately Regulated Residential Uses\Transitional Housing: 7 or more persons	-	C(10)
Separately Regulated Residential Uses\Watchkeeper Quarters	-	-
Separately Regulated Institutional Uses\Airports	-	C
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	C	C
Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories	-	C
Separately Regulated Institutional Uses\Correctional Placement Centers	-	-
Separately Regulated Institutional Uses\Educational Facilities: Kindergarten through Grade 12	-	C
Separately Regulated Institutional Uses\Educational Facilities: Colleges / Universities	-	C
Separately Regulated Institutional Uses\Educational Facilities: Vocational / Trade School	-	-
Separately Regulated Institutional Uses\Electric Vehicle Charging Stations	L	L
Separately Regulated Institutional Uses\Energy Generation & Distribution Facilities	-	C
Separately Regulated Institutional Uses\Exhibit Halls & Convention Facilities	-	-
Separately Regulated Institutional Uses\Flood Control Facilities	L	L
Separately Regulated Institutional Uses\Historical Buildings Used for Purposes Not Otherwise Allowed	C	C
Separately Regulated Institutional Uses\Homeless Facilities: Congregate Meal Facilities	-	-
Separately Regulated Institutional Uses\Homeless Facilities: Emergency Shelters	-	-
Separately Regulated Institutional Uses\Homeless Facilities: Homeless Day Centers	-	-
Separately Regulated Institutional Uses\Hospitals, Intermediate Care Facilities & Nursing Facilities	-	C
Separately Regulated Institutional Uses\Interpretive Centers	C (11)	P (11)
Separately Regulated Institutional Uses\Museums	-	-
Separately Regulated Institutional Uses\Major Transmission, Relay, or Communications Switching Stations	-	C
Separately Regulated Institutional Uses\Placemaking on Private Property	L	L
Separately Regulated Institutional Uses\Satellite Antennas	L	L
Separately Regulated Institutional Uses\Social Service Institutions	-	-
Separately Regulated Institutional Uses\Solar Energy Systems	L	L
Separately Regulated Institutional Uses\Wireless Communication Facilities	See Section 141.0420	
Retail Sales\Building Supplies & Equipment	-	-
Retail Sales\Food, Beverages and Groceries	-	-
Retail Sales\Consumer Goods, Furniture, Appliances, Equipment	-	-
Retail Sales\Pets & Pet Supplies	-	-
Retail Sales\Sundries, Pharmaceuticals, & Convenience Sales	-	-
Retail Sales\Wearing Apparel & Accessories	-	-
Separately Regulated Retail Sales Uses\Agriculture Related Supplies & Equipment	C	C
Separately Regulated Retail Sales Uses\Alcoholic Beverage Outlets	-	-
Separately Regulated Retail Sales Uses\Cannabis Outlets	-	-
Separately Regulated Retail Sales Uses\Farmers’ Markets: Weekly Farmers’ Markets	-	-
Separately Regulated Retail Sales Uses\Farmers’ Markets: Daily Farmers’ Market Stands	-	-
Separately Regulated Retail Sales Uses\Plant Nurseries	C	C
Separately Regulated Retail Sales Uses\Retail Farms	-	-
Separately Regulated Retail Sales Uses\Retail Tasting Stores	-	-
Separately Regulated Retail Sales Uses\Swap Meets & Other Large Outdoor Retail Facilities	-	C
Commercial Services\Building Services	-	-
Commercial Services\Business Support	-	-
Commercial Services\Eating & Drinking Establishments	-	-
Commercial Services\Financial Institutions	-	-
Commercial Services\Funeral & Mortuary Services	-	-
Commercial Services\Instructional Studios	-	-
Commercial Services\Maintenance & Repair	-	-
Commercial Services\Off-Site Services	-	-
Commercial Services\Personal Services	-	-
Commercial Services\Radio & Television Studios	-	-
Commercial Services\Tasting Rooms	-	-
Commercial Services\Visitor Accommodations	-	-
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Book Store	-	-
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Cabaret	-	-
Separately Regulated Commercial Services Uses\Adult Entertainment Establishments: Adult Drive-In Theater	-	-
