	CU-1-[12]	CU-2-3	CU-2-4	CU-2-5	CU-3-3	CU-3-[678]
Open Space\Active Recreation	-(1)	-	-	-	-(2)(12)	-
Open Space\Passive Recreation	-(1)	-	-	-	-(2)(12)	-
Open Space\Natural Resources Preservation	-(1)	-	-	-	-(2)(12)	-
Open Space\Park Maintenance Facilities	-(1)	-	-	-	-(2)(12)	-
Agriculture\Agricultural Processing	-(1)	-	-	-	-(2)(12)	-
Agriculture\Aquaculture Facilities	-(1)	-	-	-	-(2)(12)	-
Agriculture\Dairies	-(1)	-	-	-	-(2)(12)	-
Agriculture\Horticulture Nurseries & Greenhouses	-(1)	-	-	-	-(2)(12)	-
Agriculture\Raising & Harvesting of Crops	-(1)	-	-	-	-(2)(12)	-
Agriculture\Raising, Maintaining & Keeping of Animals	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	-(1)	P	P	P	P(2)(12)	P
Separately Regulated Agriculture Uses\Commercial Stables	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Agriculture Uses\Community Gardens	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture-Related Products & Flowers	-(1)	-	-	-	-(2)(12)	-
Residential\Mobilehome Parks	-(1)	-	-	-	-(2)(12)	-
Residential\Multiple Dwelling Units	P(3)(1)	P(3)(4)	P(3)(4)	P(3)(4)	P(3)(4)(2)(12)	P(3)(4)
Residential\Rooming House [See Sections 131.0112(a)(3)(A) and 131.0540]	-(1)	P	P	P	-(2)(12)	-
Residential\Shopkeeper Units [See Section 113.0103]	P(1)	P(4)	P(4)	P(4)	P(4)(2)(12)	P(4)
Residential\Single Dwelling Units	P(1)	-	-	-	P(2)(12)	P
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Residential Uses\Companion Units	L(1)	-	-	-	-(2)(12)	-
Separately Regulated Residential Uses\Continuing Care Retirement Communities	C(1)	C	C	C	C(2)(12)	C
Separately Regulated Residential Uses\Employee Housing: 6 or Fewer Employees	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Residential Uses\Employee Housing: 12 or Fewer Employees	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Residential Uses\Employee Housing: Greater than 12 Employees	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Residential Uses\Fraternities, Sororities and Student Dormitories	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Residential Uses\Garage, Yard, & Estate Sales	L(1)	-	-	-	-(2)(12)	-
Separately Regulated Residential Uses\Guest Quarters	L(1)	-	-	-	-(2)(12)	-
Separately Regulated Residential Uses\Home Occupations	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Residential Uses\Junior Units	L(1)	-	-	-	-(2)(12)	-
Separately Regulated Residential Uses\Live/Work Quarters	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Residential Uses\Residential Care Facilities: 6 or Fewer Persons	P(1)	P	P	P	P(2)(12)	P
Separately Regulated Residential Uses\Residential Care Facilities: 7 or More Persons	C(1)	C	C	C	C(2)(12)	C
Separately Regulated Residential Uses\Transitional Housing: 6 or Fewer Persons	P(1)	P	P	P	P(2)(12)	P
Separately Regulated Residential Uses\Transitional Housing: 7 or More Persons	C(1)	C	C	C	C(2)(12)	C
Separately Regulated Residential Uses\Watchkeeper Quarters	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Institutional Uses\Airports	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories	-(1)	-	-	-	-(2)(12)	-
Separately Regulated Institutional Uses\Correctional Placement Centers	-(1)	C	C	C	-(2)(12)	-
Separately Regulated Institutional Uses\Educational Facilities: Kindergarten through Grade 12	-(1)	L	L	L	C(2)(12)	C
Separately Regulated Institutional Uses\Educational Facilities: Colleges / Universities	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Institutional Uses\Educational Facilities: Vocational / Trade School	-(1)	P	P	P	C(2)(12)	C
Separately Regulated Institutional Uses\Electric Vehicle Charging Stations	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Institutional Uses\Energy Generation & Distribution Facilities	-(1)	P	P	P	C(2)(12)	C
Separately Regulated Institutional Uses\Exhibit Halls & Convention Facilities	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Institutional Uses\Flood Control Facilities	-(1)	L	L	L	L(2)(12)	L
Separately Regulated Institutional Uses\Historical Buildings Used for Purposes Not Otherwise Allowed	C(1)	C	C	C	C(2)(12)	C
Separately Regulated Institutional Uses\Homeless Facilities: Congregate Meal Facilities	-(1)	C	C	C	-(2)(12)	-
Separately Regulated Institutional Uses\Homeless Facilities: Emergency Shelters	-(1)	C	C	C	-(2)(12)	-
Separately Regulated Institutional Uses\Homeless Facilities: Homeless Day Centers	-(1)	C	C	C	-(2)(12)	-
Separately Regulated Institutional Uses\Hospitals, Intermediate Care Facilities & Nursing Facilities	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Institutional Uses\Interpretive Centers	-(1)	P	P	P	-(2)(12)	-
Separately Regulated Institutional Uses\Museums	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Institutional Uses\Major Transmission, Relay, or Communications Switching Stations	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Institutional Uses\Satellite Antennas	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Institutional Uses\Social Service Institutions	-(1)	C	C	C	C(2)(12)	C
Separately Regulated Institutional Uses\Solar Energy Systems	L(1)	L	L	L	L(2)(12)	L
Separately Regulated Institutional Uses\Wireless Communication Facilities	See Section 141.0420(1)	See Section 141.0421	See Section 141.0422	See Section 141.0423	See Section 141.0424(2)(12)	See Section 141.0425
Retail Sales\Building Supplies & Equipment	-(1)	P	P	P	-(2)(12)	-
Retail Sales\Food, Beverages and Groceries	P(1)	P	P	P	P(2)(12)	P
