	CN-1-(?!2)	CN-1-2	CR-1-+	CR-2-+	CO-1-+	CO-2-+	CO-3-+	CV-1-(?!1)	CV-1-1	CP-1-+
Open Space\Active Recreation	-	-	-	-	-	-	-	-	-	-
Open Space\Passive Recreation	-	-	-	-	-	-	-	-	-	-
Open Space\Natural Resources Preservation	-	-	-	-	-	-	-	-	-	-
Open Space\Park Maintenance Facilities	-	-	-	-	-	-	-	-	-	-
Agriculture\Agricultural Processing	-	-	-	-	-	-	-	-	-	-
Agriculture\Aquaculture Facilities	-	-	-	-	-	-	-	-	-	-
Agriculture\Dairies	-	-	-	-	-	-	-	-	-	-
Agriculture\Horticulture Nurseries & Greenhouses	-	-	-	-	-	-	-	-	-	-
Agriculture\Raising & Harvesting of Crops	-	-	-	-	-	-	-	-	-	-
Agriculture\Raising, Maintaining & Keeping of Animals	-	-	-	-	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	-	-	P	P	-	-	-	-	-	-
Separately Regulated Agriculture Uses\Commercial Stables	-	-	-	-	-	-	-	L	L	-
Separately Regulated Agriculture Uses\Community Gardens	L(1)	L(1)	L	L	L	L	L	L	L	L
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-	-	-	-	-	-	-	C	C	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture-related Products & Flowers	-	-	-	-	-	-	-	-	-	-
Residential\Mobilehome Parks	-	-	-	-	-	-	-	-	-	-
Residential\Multiple Dwelling Units	P(2)(1)	P(2)(1)	P(2)	-	P(2)	-	P(2)	P(2)	P(2)	-
Residential\Rooming House [See Section 131.0112(a)(3)(A)]	P(2)(1)	P(2)(1)	P	-	P	-	P	P(2)	P(2)	-
Residential\Shopkeeper Units	P(2)(1)	P(2)(1)	P(2)	-	P(2)	-	P(2)	P(2)	P(2)	-
Residential\Single Dwelling Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	L(2)(1)	L(2)(1)	L	-	L	-	-	L(2)	L(2)	-
Separately Regulated Residential Uses\Companion Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Continuing Care Retirement Communities	L(1)	L(1)	L	-	L	-	L	L	L	-
Separately Regulated Residential Uses\Employee Housing: 6 or Fewer Employees	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: 12 or Fewer Employees	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: Greater than 12 Employees	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Fraternities, Sororities and Student Dormitories	C(2)(1)	C(2)(1)	C	-	C	-	-	C(2)	C(2)	-
Separately Regulated Residential Uses\Garage, Yard, & Estate Sales	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Guest Quarters	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Home Occupations	L(1)	L(1)	L	-	L	-	L	L	L	-
Separately Regulated Residential Uses\Interim Ground Floor Residential	N(18)(1)	N(18)(1)	N(18)	-	N(18)	-	N(18)	N(18)	N(18)	-
Separately Regulated Residential Uses\Junior Units	-	-	-	-	-	-	-	-	-	-
Separately Regulated Residential Uses\Live/Work Quarters	L(1)	L(1)	L	L	L	-	L	L18	L18	-
Separately Regulated Residential Uses\Permanent Supportive Housing	L(1)	L(1)	L	L	L	L	L	L	L	L
