	OP-1-1	OP-2-1	OC-1-1	OR-1-[12]	OF-1-1
Active Recreation	P	P(2)	-	-	P(7)
Passive Recreation	P	P	P(6)	P(6)	P(6)
Natural Resources Preservation	P	P	P	P	P
Park Maintenance Facilities	P	P(2)	-	-	-
Agricultural Processing	-	-	-	-	P(5)
Aquaculture Facilities	-	-	-	P	P(7)
Dairies	-	-	-	-	-
Horticulture Nurseries & Greenhouses	-	-	-	-	-
Raising & Harvesting of Crops	-	-	-	P	P
Raising, Maintaining & Keeping of Animals	-	-	-	P(4)	P(4)
Agricultural Equipment Repair Shops	-	-	-	-	-
Commercial Stables	-	C	-	C	C
Community Gardens	-	N	-	N	L
Equestrian Show & Exhibition Facilities	-	-	-	-	-
Open Air Markets for the Sale of Agriculture-Related Products & Flowers	-	-	-	L	L
Mobilehome Parks	-	-	-	-	-
Multiple Dwelling Units	-	-	-	-	-
Rooming House [See Section 131.0112(a)(3)(A)]	-	-	-	-	-
Shopkeeper Units	-	-	-	-	-
Single Dwelling Units	-	-	P		-
Boarder & Lodger Accommodations	-	-	L		-
Companion Units	-	-	L		-
Continuing Care Retirement Communities	-	-	-		-
Employee Housing: 6 or Fewer Employees	-	-	-		-
Employee Housing: 12 or Fewer Employees	-	-	-		-
Employee Housing: Greater than 12 Employees	-	-	-		-
Fraternities, Sororities and Student Dormitories	-	-	-		-
Garage, Yard, & Estate Sales	-	-	L		-
Guest Quarters	-	-	L		-
Home Occupations	-	-	L		-
Interim Ground Floor Residential	-	-	-		-
Junior Units	-	-	L		-
Live/work Quarters	-	-	-		-
Permanent Supportive Housing	-	-	-		-
Residential Care Facilities: 6 or Fewer Persons	-	-	P		-
Residential Care Facilities: 7 or More Persons	-	-	C		-
Transitional Housing: 6 or Fewer Persons	-	-	P		-
Transitional Housing: 7 or More Persons	-	-	C		-
Watchkeeper Quarters	-	-	-		-
Airports	-	-	-		-
Botanical Gardens & Arboretums	P	P	-		-
Cemeteries, Mausoleums, Crematories	-	-	-		-
Correctional Placement Centers	-	-	-		-
Educational Facilities: Kindergarten Through Grade 12	-	-	-		-
Educational Facilities: Colleges / Universities	-	-	-		-
Educational Facilities: Vocational / Trade Schools	-	-	-		-
Electric Vehicle Charging Stations	L	L	L		L
Energy Generation & Distribution Facilities	-	-	-	-	-
Exhibit Halls & Convention Facilities	P(2)	-	-	-	-
Flood Control Facilities	-	-	-	-	L
Historical Buildings Used for Purposes Not Otherwise Allowed	-	-	-	-	-
Homeless Facilities: Congregate Meal Facilities	-	-	-	-	-
Homeless Facilities: Emergency Shelters	-	-	-	-	-
Homeless Facilities: Homeless Day Centers	-	-	-	-	-
Hospitals, Intermediate Care Facilities & Nursing Facilities	-	-	-	-	-
Interpretive Centers	P	P(2)	C	-	-
Museums	P	-	-	-	-
Major Transmission, Relay, or Communications Switching Stations	-	-	-	-	-
Placemaking on Private Property	L	L	L	L	L
Satellite Antennas	L	L	L	L	L
Social Service Institutions	-	-	-	-	-
Solar Energy Systems	L	L	L	L	L
Wireless Communication Facilities	See Section 141.0419	See Section 141.0420	See Section 141.0421	See Section 141.0422	See Section 141.0423
Building Supplies & Equipment	-	-	-	-	-
Food, Beverages and Groceries	-	-	-	-	-
Consumer Goods, Furniture, Appliances, Equipment	-	-	-	-	-
Pets & Pet Supplies	-	-	-	-	-
Sundries, Pharmaceuticals, & Convenience Sales	-	-	-	-	-
