	RM-1-+	RM-2-+	RM-3-+	RM-4-+	RM-5-+
Open Space\Active Recreation	P	P	P	P	P
Open Space\Passive Recreation	P	P	P	P	P
Open Space\Natural Resources Preservation	P	P	P	P	P
Open Space\Park Maintenance Facilities	-	-	-	-	-
Agriculture\Agricultural Processing	-	-	-	-	-
Agriculture\Aquaculture Facilities	-	-	-	-	-
Agriculture\Dairies	-	-	-	-	-
Agriculture\Horticulture Nurseries & Greenhouses	-	-	-	-	-
Agriculture\Raising & Harvesting of Crops	-	-	-	-	-
Agriculture\Raising, Maintaining & Keeping of Animals	-	-	-	-	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	-	-	-	-	-
Separately Regulated Agriculture Uses\Commercial Stables	-	-	-	-	-
Separately Regulated Agriculture Uses\Community Gardens	L	L	L	L	L
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-	-	-	-	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture- Related Products & Flowers	-	-	-	-	-
Residential\Mobilehome Parks	P(2)	P(2)	P(2)	P(2)	-
Residential\Multiple Dwelling Units	P(5)	P(5)	P(5)	P(5)	P
Residential\Rooming House [See Section 131.0112(a)(3)(A)]	P	P	P	P	P
Residential\Shopkeeper Units	-	-	P	P	P
Residential\Single Dwelling Units	P(12)	P(12)	P(12)	P(12)	P(12
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	L	L	L	L	L
Separately Regulated Residential Uses\Companion Units	L	L	L	L	L
Separately Regulated Residential Uses\Continuing Care Retirement Communities	C	C	L	L	L
Separately Regulated Residential Uses\Employee Housing: 6 or Fewer Employees	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: 12 or Fewer Employees	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: Greater than 12 Employees	-	-	-	-	-
Separately Regulated Residential Uses\Fraternities, Sororities and Student Dormitories	C	C	C	C	-
Separately Regulated Residential Uses\Garage, Yard, & Estate Sales	L	L	L	L	-
Separately Regulated Residential Uses\Guest Quarters	L(10)	-	-	-	-
Separately Regulated Residential Uses\Home Occupations	L	L	L	L	-
Separately Regulated Residential Uses\Interim Ground Floor Residential	-	-	-	-	-
Separately Regulated Residential Uses\Junior Units	L	L	L	L	L
Separately Regulated Residential Uses\Live/Work Quarters	-	-	-	-	-
Separately Regulated Residential Uses\Permanent Supportive Housing	L	L	L	L	L
Separately Regulated Residential Uses\Residential Care Facilities: 6 or fewer persons	P	P	P	P	-
Separately Regulated Residential Uses\Residential Care Facilities: 7 or more persons	C	C	C	C	-
Separately Regulated Residential Uses\Transitional Housing: 6 or fewer persons	P	P	P	P	-
Separately Regulated Residential Uses\Transitional Housing: 7 or more persons	L	L	L	L	-
Separately Regulated Residential Uses\Watchkeeper Quarters	-	-	-	-	-
Separately Regulated Institutional Uses\Airports	-	-	-	-	-
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	C	C	C	C	-
Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories	-	-	-	-	-
Separately Regulated Institutional Uses\Correctional Placement Centers	-	-	-	-	-
Separately Regulated Institutional Uses\Educational Facilities: Kindergarten through Grade 12	L	L	L	L	-
Separately Regulated Institutional Uses\Educational Facilities: Colleges / Universities	C	C	C	C	
Separately Regulated Institutional Uses\Educational Facilities: Vocational / Trade School	-	-	-	-	-
Separately Regulated Institutional Uses\Electric Vehicle Charging Stations	L	L	L	L	L
Separately Regulated Institutional Uses\Energy Generation & Distribution Facilities	-	-	-	C	C
Separately Regulated Institutional Uses\Exhibit Halls & Convention Facilities	-	-	-	-	-
Separately Regulated Institutional Uses\Flood Control Facilities	L	L	L	L	-
Separately Regulated Institutional Uses\Historical Buildings Used for Purposes Not Otherwise Allowed	C	C	C	C	C
Separately Regulated Institutional Uses\Homeless Facilities: Congregate Meal Facilities	-	-	C	C	-
Separately Regulated Institutional Uses\Homeless Facilities: Emergency Shelters	-	-	C	C	-
Separately Regulated Institutional Uses\Homeless Facilities: Homeless Day Centers	-	-	C	C	-
Separately Regulated Institutional Uses\Hospitals, Intermediate Care Facilities & Nursing Facilities	C	C	C	C	-
Separately Regulated Institutional Uses\Interpretive Centers	-	-	-	-	-
Separately Regulated Institutional Uses\Museums	-	-	-	-	-
Separately Regulated Institutional Uses\Major Transmission, Relay, or Communications Switching Stations	-	-	-	-	-
Separately Regulated Institutional Uses\Placemaking on Private Property	L	L	L	L	L
Separately Regulated Institutional Uses\Satellite Antennas	L	L	L	L	L
Separately Regulated Institutional Uses\Social Service Institutions	-	-	-	-	-
Separately Regulated Institutional Uses\Solar Energy Systems	L	L	L	L	L
Separately Regulated Institutional Uses\Wireless Communication Facilities	See Section 141.0420				
Retail Sales\Building Supplies & Equipment	-	-	-	-	-
Retail Sales\Food, Beverages and Groceries	-	-	P(7)	P(7)	P(7)
Retail Sales\Consumer Goods, Furniture, Appliances, Equipment	-	-	-	-	-
Retail Sales\Pets & Pet Supplies	-	-	-	-	-
Retail Sales\Sundries, Pharmaceuticals, & Convenience Sales	-	-	P(7)	P(7)	P(7)
Retail Sales\Wearing Apparel & Accessories	-	-	P	P	P
Separately Regulated Retail Sales Uses\Agriculture Related Supplies & Equipment	-	-	-	-	-
Separately Regulated Retail Sales Uses\Alcoholic Beverage Outlets	-	-	-	-	-
Separately Regulated Retail Sales Uses\Farmers’ Markets: Weekly Farmers’Markets	-	-	-	-	-
Separately Regulated Retail Sales Uses\Farmers’ Markets: Daily Farmers’ Market Stands	-	-	-	-	-
Separately Regulated Retail Sales Uses\Marijuana Outlets	-	-	-	-	-
Separately Regulated Retail Sales Uses\Plant Nurseries	-	-	-	-	-
Separately Regulated Retail Sales Uses\Retail Farms	-	-	-	-	-
