ALLEE,ALY,ALLEY
ALLEY,ALY,ALLEY
ALLY,ALY,ALLEY
ALY,ALY,ALLEY
ANEX,ANX,ANEX
ANNEX,ANX,ANEX
ANNX,ANX,ANEX
ANX,ANX,ANEX
ARC,ARC,ARCADE
ARCADE,ARC,ARCADE
AV,AVE,AVENUE
AVE,AVE,AVENUE
AVEN,AVE,AVENUE
AVENU,AVE,AVENUE
AVENUE,AVE,AVENUE
AVN,AVE,AVENUE
AVNUE,AVE,AVENUE
BAYOO,BYU,BAYOU
BAYOU,BYU,BAYOU
BCH,BCH,BEACH
BEACH,BCH,BEACH
BEND,BND,BEND
BND,BND,BEND
BLF,BLF,BLUFF
BLUF,BLF,BLUFF
BLUFF,BLF,BLUFF
BLUFFS,BLFS,BLUFFS
BOT,BTM,BOTTOM
BTM,BTM,BOTTOM
BOTTM,BTM,BOTTOM
BOTTOM,BTM,BOTTOM
BLVD,BLVD,BOULEVARD
BOUL,BLVD,BOULEVARD
BOULEVARD,BLVD,BOULEVARD
BOULV,BLVD,BOULEVARD
BR,BR,BRANCH
BRNCH,BR,BRANCH
BRANCH,BR,BRANCH
BRDGE,BRG,BRIDGE
BRG,BRG,BRIDGE
BRIDGE,BRG,BRIDGE
BRK,BRK,BROOK
BROOK,BRK,BROOK
BROOKS,BRKS,BROOKS
BURG,BG,BURG
BURGS,BGS,BURGS
BYP,BYP,BYPASS
BYPA,BYP,BYPASS
BYPAS,BYP,BYPASS
BYPASS,BYP,BYPASS
BYPS,BYP,BYPASS
CAMP,CP,CAMP
CP,CP,CAMP
CMP,CP,CAMP
CANYN,CYN,CANYON
CANYON,CYN,CANYON
CNYN,CYN,CANYON
CAPE,CPE,CAPE
CPE,CPE,CAPE
CAUSEWAY,CSWY,CAUSEWAY
CAUSWA,CSWY,CAUSEWAY
CSWY,CSWY,CAUSEWAY
CEN,CTR,CENTER
CENT,CTR,CENTER
CENTER,CTR,CENTER
CENTR,CTR,CENTER
CENTRE,CTR,CENTER
CNTER,CTR,CENTER
CNTR,CTR,CENTER
CTR,CTR,CENTER
CENTERS,CTRS,CENTERS
CIR,CIR,CIRCLE
CIRC,CIR,CIRCLE
CIRCL,CIR,CIRCLE
CIRCLE,CIR,CIRCLE
CRCL,CIR,CIRCLE
CRCLE,CIR,CIRCLE
CIRCLES,CIRS,CIRCLES
CLF,CLF,CLIFF
CLIFF,CLF,CLIFF
CLFS,CLFS,CLIFFS
CLIFFS,CLFS,CLIFFS
CLB,CLB,CLUB
CLUB,CLB,CLUB
COMMON,CMN,COMMON
COMMONS,CMNS,COMMONS
COR,COR,CORNER
CORNER,COR,CORNER
CORNERS,CORS,CORNERS
CORS,CORS,CORNERS
COURSE,CRSE,COURSE
CRSE,CRSE,COURSE
COURT,CT,COURT
CT,CT,COURT
COURTS,CTS,COURTS
CTS,CTS,COURTS
COVE,CV,COVE
CV,CV,COVE
COVES,CVS,COVES
CREEK,CRK,CREEK
CRK,CRK,CREEK
CRESCENT,CRES,CRESCENT
CRES,CRES,CRESCENT
CRSENT,CRES,CRESCENT
CRSNT,CRES,CRESCENT
CREST,CRST,CREST
CROSSING,XING,CROSSING
CRSSNG,XING,CROSSING
XING,XING,CROSSING
CROSSROAD,XRD,CROSSROAD
CROSSROADS,XRDS,CROSSROADS
CURVE,CURV,CURVE
DALE,DL,DALE
DL,DL,DALE
DAM,DM,DAM
DM,DM,DAM
DIV,DV,DIVIDE
DIVIDE,DV,DIVIDE
DV,DV,DIVIDE
DVD,DV,DIVIDE
DR,DR,DRIVE
DRIV,DR,DRIVE
DRIVE,DR,DRIVE
DRV,DR,DRIVE
DRIVES,DRS,DRIVES
EST,EST,ESTATE
ESTATE,EST,ESTATE
ESTATES,ESTS,ESTATES
ESTS,ESTS,ESTATES
EXP,EXPY,EXPRESSWAY
EXPR,EXPY,EXPRESSWAY
EXPRESS,EXPY,EXPRESSWAY
EXPRESSWAY,EXPY,EXPRESSWAY
EXPW,EXPY,EXPRESSWAY
EXPY,EXPY,EXPRESSWAY
EXT,EXT,EXTENSION
EXTENSION,EXT,EXTENSION
EXTN,EXT,EXTENSION
EXTNSN,EXT,EXTENSION
EXTS,EXTS,EXTENSIONS
FALL,FALL,FALL
FALLS,FLS,FALLS
FLS,FLS,FALLS
FERRY,FRY,FERRY
FRRY,FRY,FERRY
FRY,FRY,FERRY
FIELD,FLD,FIELD
FLD,FLD,FIELD
FIELDS,FLDS,FIELDS
FLDS,FLDS,FIELDS
FLAT,FLT,FLAT
FLT,FLT,FLAT
FLATS,FLTS,FLATS
FLTS,FLTS,FLATS
FORD,FRD,FORD
FRD,FRD,FORD
FORDS,FRDS,FORDS
FOREST,FRST,FOREST
FORESTS,FRST,FOREST
FRST,FRST,FOREST
FORG,FRG,FORGE
FORGE,FRG,FORGE
FRG,FRG,FORGE
FORGES,FRGS,FORGES
FORK,FRK,FORK
FRK,FRK,FORK
FORKS,FRKS,FORKS
FRKS,FRKS,FORKS
FORT,FT,FORT
FRT,FT,FORT
FT,FT,FORT
FREEWAY,FWY,FREEWAY
FREEWY,FWY,FREEWAY
FRWAY,FWY,FREEWAY
