	RM-1	RM-2	RM-3	RM-4	RM-5
Open Space\Active Recreation	P	P	P	P	P
Open Space\Passive Recreation	P	P	P	P	P
Open Space\Natural Resources Preservation	P	P	P	P	P
Open Space\Park Maintenance Facilities	-	-	-	-	-
Agriculture\Agricultural Processing	-	-	-	-	-
Agriculture\Aquaculture Facilities	-	-	-	-	-
Agriculture\Dairies	-	-	-	-	-
Agriculture\Horticulture Nurseries & Greenhouses	-	-	-	-	-
Agriculture\Raising & Harvesting of Crops	-	-	-	-	-
"Agriculture\Raising, Maintaining & Keeping of Animals"	-	-	-	-	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	-	-	-	-	-
Separately Regulated Agriculture Uses\Commercial Stables	-	-	-	-	-
Separately Regulated Agriculture Uses\Community Gardens	L	L	L	L	L
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-	-	-	-	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture- Related Products & Flowers	-	-	-	-	-
Residential\Mobilehome Parks	P(2)	P(2)	P(2)	P(2)	-
Residential\Multiple Dwelling Units	P(5)	P(5)	P(5)	P(5)	P
Residential\Rooming House [See Section 131.0112(a)(3)(A)]	P	P	P	P	P
Residential\Shopkeeper Units	-	-	P	P	P
Residential\Single Dwelling Units	P(12)	P(12)	P(12)	P(12)	P(12
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	L	L	L	L	L
Separately Regulated Residential Uses\Companion Units	L	L	L	L	L
Separately Regulated Residential Uses\Continuing Care Retirement Communities	C	C	L	L	L
Employee Housing\6 or Fewer Employees	-	-	-	-	-
Employee Housing\12 or Fewer Employees	-	-	-	-	-
Employee Housing\Greater than 12 Employees	-	-	-	-	-
"Employee Housing\Fraternities, Sororities and Student Dormitories"	C	C	C	C	-
"Employee Housing\Garage, Yard, & Estate Sales"	L	L	L	L	-
Employee Housing\Guest Quarters	L(10)	-	-	-	-
Employee Housing\Home Occupations	L	L	L	L	-
Employee Housing\Interim Ground Floor Residential	-	-	-	-	-
Employee Housing\Junior Units	L	L	L	L	L
Employee Housing\Live/Work Quarters	-	-	-	-	-
Employee Housing\Permanent Supportive Housing	L	L	L	L	L
Residential Care Facilities\6 or fewer persons	P	P	P	P	-
Residential Care Facilities\7 or more persons	C	C	C	C	-
Transitional Housing\6 or fewer persons	P	P	P	P	-
Transitional Housing\7 or more persons	L	L	L	L	-
Transitional Housing\Watchkeeper Quarters	-	-	-	-	-
Separately Regulated Institutional Uses\Airports	-	-	-	-	-
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	C	C	C	C	-
"Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories"	-	-	-	-	-
Separately Regulated Institutional Uses\Correctional Placement Centers	-	-	-	-	-
Educational Facilities\Kindergarten through Grade 12	L	L	L	L	-
Educational Facilities\Colleges / Universities	C	C	C	C	
Educational Facilities\Vocational / Trade School	-	-	-	-	-
Educational Facilities\Electric Vehicle Charging Stations	L	L	L	L	L
Educational Facilities\Energy Generation & Distribution Facilities	-	-	-	C	C
Educational Facilities\Exhibit Halls & Convention Facilities	-	-	-	-	-
Educational Facilities\Flood Control Facilities	L	L	L	L	-
Educational Facilities\Historical Buildings Used for Purposes Not Otherwise Allowed	C	C	C	C	C
Homeless Facilities\Congregate Meal Facilities	-	-	C	C	-
Homeless Facilities\Emergency Shelters	-	-	C	C	-
Homeless Facilities\Homeless Day Centers	-	-	C	C	-
"Homeless Facilities\Hospitals, Intermediate Care Facilities & Nursing Facilities"	C	C	C	C	-
Homeless Facilities\Interpretive Centers	-	-	-	-	-
Homeless Facilities\Museums	-	-	-	-	-
"Homeless Facilities\Major Transmission, Relay, or Communications Switching Stations"	-	-	-	-	-
Homeless Facilities\Placemaking on Private Property	L	L	L	L	L
Homeless Facilities\Satellite Antennas	L	L	L	L	L
Homeless Facilities\Social Service Institutions	-	-	-	-	-
Homeless Facilities\Solar Energy Systems	L	L	L	L	L
Homeless Facilities\Wireless Communication Facilities	See Section 141.0420				
Retail Sales\Building Supplies & Equipment	-	-	-	-	-
"Retail Sales\Food, Beverages and Groceries"	-	-	P(7)	P(7)	P(7)
"Retail Sales\Consumer Goods, Furniture, Appliances, Equipment"	-	-	-	-	-
Retail Sales\Pets & Pet Supplies	-	-	-	-	-
"Retail Sales\Sundries, Pharmaceuticals, & Convenience Sales"	-	-	P(7)	P(7)	P(7)
Retail Sales\Wearing Apparel & Accessories	-	-	P	P	P
Separately Regulated Retail Sales Uses\Agriculture Related Supplies & Equipment	-	-	-	-	-
Separately Regulated Retail Sales Uses\Alcoholic Beverage Outlets	-	-	-	-	-
Farmers’ Markets\Weekly Farmers’Markets	-	-	-	-	-
Farmers’ Markets\Daily Farmers’ Market Stands	-	-	-	-	-
Farmers’ Markets\Marijuana Outlets	-	-	-	-	-
Farmers’ Markets\Plant Nurseries	-	-	-	-	-
Farmers’ Markets\Retail Farms	-	-	-	-	-
Farmers’ Markets\Retail Tasting Stores	-	-	-	-	-
Farmers’ Markets\Swap Meets & Other Large Outdoor Retail Facilities	-	-	-	-	-
Commercial Services\Building Services	-	-	-	-	-
Commercial Services\Business Support	-	-	P(7)	P(7)	P(7)
Commercial Services\Eating & Drinking Establishments	-	-	-	-	-
Commercial Services\Financial Institutions	-	-	-	-	-
Commercial Services\Funeral & Mortuary Services	-	-	-	-	-
Commercial Services\Instructional Studios	P	P	P	P	P
Commercial Services\Maintenance & Repair	-	-	-	-	-
Commercial Services\Off-Site Services	-	-	-	-	-
Commercial Services\Personal Services	-	-	P(7)	P(7)	P(7)
Commercial Services\Radio & Television Studios	-	-	-	-	-
Commercial Services\Tasting Rooms	-	-	-	-	-
Commercial Services\Visitor Accommodations	-	-	-	P(6)	P(6)
