	RS-1-1	RS-1-2	RS-1-3	RS-1-4	RS-1-5	RS-1-6	RS-1-7	RS-1-8	RS-1-9	RS-1-10	RS-1-11	RS-1-12	RS-1-13	RS-1-14
Max permitted density (DU per lot)	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Min lot area (sf)	40,000	20,000	15,000	10,000	8,000	6,000	5,000	40,000	20,000	15,000	10,000	8,000	6,000	5,000
Min lot dimensions\Min Lot width (ft)	100	80	75	65	60	60	50	100	80	75	65	60	60	50
Min lot dimensions\Min Street frontage (ft) [See Section 131.0442(a)]	100	80	75	65	60	60	50	100	80	75	65	60	60	50
Min lot dimensions\Min Lot width (corner) (ft)	110	85	80	70	65	65	55	110	85	80	70	65	65	55
Min lot dimensions\Min Lot depth (ft)	100	100	100	100	100	95	95	100	100	100	100	100	95	95
Setback requirements\Min Front setback (ft)	25 (1)	25(1)	20(1)	20(1)	20(1)	15(1)	15(1)	25(1)	25(1)	25(1)	20(1)	15(1)	15(1)	15(1)
Setback requirements\Min Side setback (ft) [Multiply number in table by actual lot width to calculate setback]	.08(2)	.08(2)	.08(2)	.08(2)	.08(2)	.08(2)	.08(2)	10	8	7	6	5	5	4
Setback requirements\Min Street side setback (ft) [Multiply number in table by actual lot width to calculate setback]	.10(2)	.10(2)	.10(2)	.10(2)	.10(2)	.10(2)	.10(2)	20	15	15	10	10	10	10
Setback requirements\Min Rear setback (ft)	25(3)	25(3)	20(3)	20(3)	20(3)	15(3)	13(3)	10(6)	10(6)	10(6)	10(6)	10(6)	10(6)	10(6)
Setback requirements for resubdivided corner lots [See Section 113.0246(f)]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Max structure height (ft)	24/30(4)	24/30(4)	24/30(4)	24/30(4)	24/30(4)	24/30(4)	24/30(4)	35	35	35	35	35	35	35
Lot coverage for sloping lots [See Section 131.0445(a)]	applies	applies	applies	applies	applies	applies	applies	-	-	-	-	-	-	-
Max floor area ratio [See Section 131.0446(b)]	0.45	varies(5)	varies(5)	varies (5)	varies(5)	varies (5)	varies(5)	0.45	0.6	0.6	0.6	0.6	0.6	0.6
Max paving/ hardscape [See Section 131.0447]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Accessory uses and structures [See Sections 131.0448 and 141.0307]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Garage regulations [See Section 131.0449(a)]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Building spacing [See Section 131.0450]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Max third story dimensions [See Section 131.0460]	--	applies	applies	applies	applies	applies	applies	-	-	-	-	-	-	-
Architectural projections and encroachments [See Section 131.0461(a)]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Supplemental requirements [See Section 131.0464(a)]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Bedroom regulation [See Section 131.0457]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Refuse and Recyclable Material Storage [See Section 142.0805]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
Visibility Area [See Section 113.0273]	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies	applies
