	CC-1-+	CC-2-+	CC-3-+	CC-4-+	CC-5-+
Open Space\Active Recreation	-	-	-	-	-
Open Space\Passive Recreation	-	-	-	-	-
Open Space\Natural Resources Preservation	-	-	-	-	-
Open Space\Park Maintenance Facilities	-	-	-	-	-
Agriculture\Agricultural Processing	-	-	-	-	-
Agriculture\Aquaculture Facilities	-	-	-	-	-
Agriculture\Dairies	-	-	-	-	-
Agriculture\Horticulture Nurseries & Greenhouses	-	-	-	-	-
Agriculture\Raising & Harvesting of Crops	-	-	-	-	-
Agriculture\Raising, Maintaining & Keeping of Animals	-	-	-	-	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	P	P	-	P	P
Separately Regulated Agriculture Uses\Commercial Stables	-	-	-	-	-
Separately Regulated Agriculture Uses\Community Gardens	L	L	L	L	L
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-	-	-	-	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture- Related Products & Flowers	-	-	-	-	-
Residential\Mobilehome Parks	-	-	-	-	-
Residential\Multiple Dwelling Units	P(2)	-	P(2)	P(2)	P(2)
Residential\Rooming House [See Section 131.0112(a)(3)(A)]	P	-	P	P	P
Residential\Shopkeeper Units	P	-	P	P	P
Residential\Single Dwelling Units	-	-	-	-	-
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	L	-	L	L	L
Separately Regulated Residential Uses\Companion Units	-	-	-	-	-
Separately Regulated Residential Uses\Continuing Care Retirement Communities	L	-	L	L	L
Separately Regulated Residential Uses\Employee Housing: 6 or Fewer Employees	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: 12 or Fewer Employees	-	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: Greater than 12 Employees	-	-	-	-	-
Separately Regulated Residential Uses\Fraternities, Sororities and Student Dormitories	C	-	C	C	C
Separately Regulated Residential Uses\Garage, Yard, & Estate Sales	-	-	-	-	-
Separately Regulated Residential Uses\Guest Quarters	-	-	-	-	-
Separately Regulated Residential Uses\Home Occupations	L	-	L	L	L
Separately Regulated Residential Uses\Interim Ground Floor Residential	N(18)	-	N(18)	N(18)	N(18)
Separately Regulated Residential Uses\Junior Units	-	-	-	-	-
Separately Regulated Residential Uses\Live/Work Quarters	L	L	L	L	L
Separately Regulated Residential Uses\Permanent Supportive Housing	L	L	L	L	L
Separately Regulated Residential Uses\Residential Care Facilities: 6 or Fewer Persons	P	-	P	P	P
Separately Regulated Residential Uses\Residential Care Facilities: 7 or More Persons	C	-	C	C	C
Separately Regulated Residential Uses\Transitional Housing: 6 or Fewer Persons	P	-	P	P	P
Separately Regulated Residential Uses\Transitional Housing: 7 or More Persons	L	-	L	L	L
Separately Regulated Residential Uses\Watchkeeper Quarters	-	L	-	-	-
Separately Regulated Institutional Uses\Airports	C	C	C	C	C
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	C	C	C	C	C
Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories	C	C	C	C	C
Separately Regulated Institutional Uses\Correctional Placement Centers	C	C	C	C	C
Separately Regulated Institutional Uses\Educational Facilities: Kindergarten through Grade 12	L	L	L	L	L
Separately Regulated Institutional Uses\Educational Facilities: Colleges / Universities	C	C	-	C	C
Separately Regulated Institutional Uses\Educational Facilities: Vocational / Trade School	P	P	-	P	P
Separately Regulated Institutional Uses\Electric Vehicle Charging Stations	L	L	L	L	L
Separately Regulated Institutional Uses\Energy Generation & Distribution Facilities	P	C	C	C	P
